status,ball,soc_pin_name,net_name,candidate_signals,source_line,match_reason,interface_key,db_signal_name,db_device_pin_name,db_interface_name,dts_offset,mux_mode,linux_macro,result,confidence
MATCHED,Y13,PRG1_PRU1_GPO18,CPSW_RGMII1_RXD2,PRG1_PRU1_GPO18,U1-Y13 AM6412-PRG1_PRU1_GPO18 PASSIVE,soc_pin_name:PRG1_PRU1_GPO18; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU1,PRG1_PRU1_GPO18,PRG1_PRU1_GPO18,PRU_ICSSG1_PRU1,0x0150,0,AM64X_IOPAD,PINMUX_DTS,HIGH
OUT_OF_SCOPE,Y14,VSS_P,GND,VSS_P,U1-Y14 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,Y15,SERDES0_RX0_N,SERDES_RX_N,SERDES0_RX0_N,U1-Y15 AM6412-SERDES0_RX0_N PASSIVE,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,Y16,SERDES0_RX0_P,SERDES_RX_P,SERDES0_RX0_P,U1-Y16 AM6412-SERDES0_RX0_P PASSIVE,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,Y17,VSS_P,GND,VSS_P,U1-Y17 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
OUT_OF_SCOPE,Y19,VSS_P,GND,VSS_P,U1-Y19 AM6412-VSS_P POWER,no DB row,,,,,,,,OUT_OF_SCOPE,HIGH
MATCHED,Y20,GPMC0_AD15,GPMC0_AD15,GPMC0_AD15,U1-Y20 AM6412-GPMC0_AD15 PASSIVE,soc_pin_name:GPMC0_AD15; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD15,GPMC0_AD15,GPMC0,0x0078,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,Y21,GPMC0_AD14,GPMC0_AD14,GPMC0_AD14,U1-Y21 AM6412-GPMC0_AD14 PASSIVE,soc_pin_name:GPMC0_AD14; ball + TI symbol pin name matched SysConfig DB,GPMC0,GPMC0_AD14,GPMC0_AD14,GPMC0,0x0074,0,AM64X_IOPAD,PINMUX_DTS,HIGH
ALT_FUNCTION_REVIEW,Y4,PRG0_PRU1_GPO12,GPMC0_A7,PRG0_PRU1_GPO12,U1-Y4 AM6412-PRG0_PRU1_GPO12 PASSIVE,soc_pin_name:PRG0_PRU1_GPO12; alternate function hinted by net name on same ball,PRU_ICSSG0_PRU1,PRG0_PRU1_GPO12,PRG0_PRU1_GPO12,PRU_ICSSG0_PRU1,0x01e0,0,AM64X_IOPAD,ALT_FUNCTION_REVIEW,MEDIUM
MATCHED,Y7,PRG1_PRU0_GPO0,VSEL_SD_SWITCH,PRG1_PRU0_GPO0,U1-Y7 AM6412-PRG1_PRU0_GPO0 PASSIVE,soc_pin_name:PRG1_PRU0_GPO0; ball + TI symbol pin name matched SysConfig DB,PRU_ICSSG1_PRU0,PRG1_PRU0_GPO0,PRG1_PRU0_GPO0,PRU_ICSSG1_PRU0,0x00b8,0,AM64X_IOPAD,PINMUX_DTS,HIGH
MATCHED,Y9,PRG1_PRU0_GPO15,TEST_LED1,GPIO0_60,U1-Y9 AM6412-PRG1_PRU0_GPO15 PASSIVE,board_mux_decision:test_led1_gpio_on_prg1_pru0_gpo15; explicit board-level override,GPIO0,GPIO0_60,PRG1_PRU0_GPO15,GPIO0,0x00f4,7,AM64X_IOPAD,PINMUX_DTS,HIGH
